"station_name","x","y","year","month","mean_temp","max_temp","min_temp","total_precip","min_humidity","max_humidity"
"EARLTON A",-79.8488888888889,47.695,2019,10,5.83709677419355,10.6258064516129,1.00967741935484,2.86612903225806,63.4677419354839,98.8064516129032
"EARLTON A",-79.8488888888889,47.695,2019,11,-5.92666666666667,-2.16666666666667,-9.65333333333333,0.976666666666667,72.3333333333333,92.7
"EARLTON A",-79.8488888888889,47.695,2019,12,-10.3629032258065,-5.65645161290323,-15.0241935483871,0.319354838709677,72.9516129032258,91.1612903225806
"EARLTON A",-79.8488888888889,47.695,2020,1,-10.9145161290323,-5.7758064516129,-16.0032258064516,0.354838709677419,73.2903225806452,91.2096774193548
"EARLTON A",-79.8488888888889,47.695,2020,2,-12.1344827586207,-5.92413793103448,-18.2965517241379,0.275862068965517,61.1379310344828,87.2758620689655
"EARLTON A",-79.8488888888889,47.695,2020,3,-5.72903225806452,0.870967741935484,-12.2870967741935,1.48064516129032,53.3225806451613,91.2903225806452
"EARLTON A",-79.8488888888889,47.695,2020,4,0.732142857142857,6.36785714285714,-4.91071428571429,1.8,42.7142857142857,86.0357142857143
"EARLTON A",-79.8488888888889,47.695,2020,5,9.24516129032258,15.8032258064516,2.63870967741935,1.39677419354839,38.5483870967742,83.9032258064516
"EARLTON A",-79.8488888888889,47.695,2020,6,16.71,23.35,10.0233333333333,3.86333333333333,47.4666666666667,93.0333333333333
"EARLTON A",-79.8488888888889,47.695,2020,7,20.3967741935484,26.1612903225806,14.5967741935484,2.97096774193548,57.6774193548387,97.7741935483871
"EARLTON A",-79.8488888888889,47.695,2020,8,16.6032258064516,22.2645161290323,10.8774193548387,1.76774193548387,57.741935483871,97.6129032258064
"EARLTON A",-79.8488888888889,47.695,2020,9,11.4166666666667,17.1266666666667,5.66,3.02333333333333,57.4333333333333,97.2333333333333
"EARLTON A",-79.8488888888889,47.695,2020,10,2.74354838709677,7.34516129032258,-1.89193548387097,2.37741935483871,62.9354838709677,96.9193548387097
