"","Year","County","Acres seeded ","Acres harvested","Yield (bushels/ac)","Production ('000 bushels)","Production ('000 tonnes)"
"133",2006,"Renfrew","6569","6400","139","889.60","22.60"
"134",2006,"Stormont, Dundas and Glengarry","93233","90700","148","13423.60","340.98"
"135",2006,"Algoma","51","0","0","0","0"
"136",2006,"Cochrane","0","0","0","0","0"
"137",2006,"Greater Sudbury","0","0","0","0","0"
"138",2006,"Kenora","0","0","0","0","0"
"139",2006,"Manitoulin","0","0","0","0","0"
"140",2006,"Nipissing","0","0","0","0","0"
"141",2006,"Rainy River","0","0","0","0","0"
"142",2006,"Sudbury","0","0","0","0","0"
"143",2006,"Thunder Bay","0","0","0","0","0"
"144",2006,"Timiskaming","856","0","89","0","0"
"145",2007,"Brant","42000","41100","119","4890.90","124.24"
"146",2007,"Chatham-Kent","165000","161400","155","25017","635.47"
"147",2007,"Elgin","110000","107600","130","13988","355.31"
"148",2007,"Essex","60000","58700","142","8335.40","211.73"
"149",2007,"Haldimand-Norfolk","99000","96900","112","10852.80","275.68"
"150",2007,"Hamilton","22000","21500","112","2408","61.17"
"151",2007,"Lambton","140000","137000","135","18495","469.80"
"152",2007,"Middlesex","200000","195700","137","26810.90","681.03"
"153",2007,"Niagara","36000","35200","91","3203.20","81.37"
"154",2007,"Oxford","155000","151700","151","22906.70","581.86"
"155",2007,"Bruce","70000","68500","130","8905","226.20"
"156",2007,"Dufferin","11000","10800","114","1231.20","31.27"
"157",2007,"Grey","17000","16600","112","1859.20","47.23"
"158",2007,"Halton","10000","9800","73","715.40","18.17"
"159",2007,"Huron","200000","195700","137","26810.90","681.03"
"160",2007,"Peel","9000","8800","86","756.80","19.22"
"161",2007,"Perth","150000","146800","145","21286","540.69"
"162",2007,"Simcoe","57000","55800","113","6305.40","160.17"
"163",2007,"Waterloo","34000","33300","119","3962.70","100.66"
"164",2007,"Wellington","85000","83200","117","9734.40","247.27"
"165",2007,"Durham","52000","50900","104","5293.60","134.46"
"166",2007,"Haliburton","0","0","0","0","0"
"167",2007,"Hastings","13000","12700","106","1346.20","34.20"
"168",2007,"Kawartha Lakes","16000","15700","90","1413","35.89"
"169",2007,"Muskoka","0","0","0","0","0"
"170",2007,"Northumberland","24000","23500","114","2679","68.05"
"171",2007,"Parry Sound","0","0","0","0","0"
"172",2007,"Peterborough","8000","7800","100","780","19.81"
"173",2007,"Prince Edward","13000","12700","108","1371.60","34.84"
"174",2007,"York","20000","19600","103","2018.80","51.28"
"175",2007,"Frontenac","5000","4900","113","553.70","14.06"
"176",2007,"Lanark","4000","3900","136","530.40","13.47"
"177",2007,"Leeds and Grenville","23000","22500","137","3082.50","78.30"
"178",2007,"Lennox and Addington","8000","7800","113","881.40","22.39"
"179",2007,"Ottawa","45000","44000","157","6908","175.47"
"180",2007,"Prescott and Russell","63000","61700","149","9193.30","233.52"
"181",2007,"Renfrew","7000","6900","124","855.60","21.73"
"182",2007,"Stormont, Dundas and Glengarry","125000","122300","159","19445.70","493.95"
"183",2007,"Algoma","0","0","0","0","0"
"184",2007,"Cochrane","0","0","0","0","0"
"185",2007,"Greater Sudbury","0","0","0","0","0"
"186",2007,"Kenora","0","0","0","0","0"
"187",2007,"Manitoulin","0","0","0","0","0"
"188",2007,"Nipissing","0","0","0","0","0"
"189",2007,"Rainy River","0","0","0","0","0"
"190",2007,"Sudbury","0","0","0","0","0"
"191",2007,"Thunder Bay","0","0","0","0","0"
"192",2007,"Timiskaming","0","0","0","0","0"
"193",2008,"Brant","34000","33500","148","4958","125.94"
"194",2008,"Chatham-Kent","130000","128200","175","22435","569.88"
"195",2008,"Elgin","87000","85800","167","14328.60","363.97"
"196",2008,"Essex","61000","60100","138","8293.80","210.67"
"197",2008,"Haldimand-Norfolk","64000","63100","158","9969.80","253.25"
"198",2008,"Hamilton","32000","31500","161","5071.50","128.82"
"199",2008,"Lambton","98000","96600","172","16615.20","422.05"
"200",2008,"Middlesex","132000","130100","180","23418","594.85"
"201",2008,"Niagara","34000","33500","156","5226","132.75"
"202",2008,"Oxford","145000","143000","171","24453","621.14"
"203",2008,"Bruce","61000","60600","142","8605.20","218.58"
"204",2008,"Dufferin","7500","7400","126","932.40","23.68"
"205",2008,"Grey","11000","10900","126","1373.40","34.89"
"206",2008,"Halton","16000","15900","147","2337.30","59.37"
"207",2008,"Huron","135000","134100","165","22126.50","562.04"
"208",2008,"Peel","10000","9900","148","1465.20","37.22"
"209",2008,"Perth","100000","99300","156","15490.80","393.49"
"210",2008,"Simcoe","56000","55600","148","8228.80","209.02"
"211",2008,"Waterloo","32000","31800","152","4833.60","122.78"
"212",2008,"Wellington","77000","76500","137","10480.50","266.22"
"213",2008,"Durham","73000","68900","138","9508.20","241.52"
